pointid,grid_code,POINT_X,POINT_Y
392,-3125.4191895,-104.350692337716623,31.901240653151376
393,-3125.4191895,-104.345778761030374,31.901240653151376
394,-3125.4191895,-104.340865184344125,31.901240653151376
395,-3174.1872559,-104.335951607657876,31.901240653151376
396,-3174.1872559,-104.331038030971740,31.901240653151376
397,-3238.8049316,-104.326124454285491,31.901240653151376
398,-3238.8049316,-104.321210877599185,31.901240653151376
399,-3325.6728516,-104.316297300912936,31.901240653151376
400,-3325.6728516,-104.311383724226800,31.901240653151376
401,-3378.7080078,-104.306470147540551,31.901240653151376
402,-3375.0505371,-104.301556570854302,31.901240653151376
403,-3422.9040527,-104.296642994167996,31.901240653151376
404,-3422.9040527,-104.291729417481861,31.901240653151376
405,-3469.8432617,-104.286815840795612,31.901240653151376
406,-3469.8432617,-104.281902264109362,31.901240653151376
407,-3469.8432617,-104.276988687423113,31.901240653151376
408,-3531.1081543,-104.272075110736864,31.901240653151376
409,-3531.1081543,-104.267161534050729,31.901240653151376
410,-3639.3120117,-104.262247957364480,31.901240653151376
411,-3639.3120117,-104.257334380678174,31.901240653151376
412,-3740.8105469,-104.252420803991924,31.901240653151376
413,-3740.8105469,-104.247507227305675,31.901240653151376
414,-3823.7160645,-104.242593650619540,31.901240653151376
415,-3823.7160645,-104.237680073933291,31.901240653151376
416,-3874.9223633,-104.232766497246985,31.901240653151376
417,-3874.9223633,-104.227852920560849,31.901240653151376
418,-3931.6152344,-104.222939343874600,31.901240653151376
419,-3931.6152344,-104.218025767188351,31.901240653151376
420,-4006.5959473,-104.213112190502102,31.901240653151376
421,-4006.5959473,-104.208198613815853,31.901240653151376
422,-4006.5959473,-104.203285037129660,31.901240653151376
423,-4111.1425781,-104.198371460443468,31.901240653151376
424,-4111.1425781,-104.193457883757162,31.901240653151376
425,-4212.6406250,-104.188544307070913,31.901240653151376
426,-4212.6406250,-104.183630730384664,31.901240653151376
427,-4294.3271484,-104.178717153698528,31.901240653151376
428,-4294.3271484,-104.173803577012279,31.901240653151376
429,-4353.4584961,-104.168890000325973,31.901240653151376
430,-4353.4584961,-104.163976423639838,31.901240653151376
431,-4413.8090820,-104.159062846953589,31.901240653151376
432,-4413.8090820,-104.154149270267339,31.901240653151376
433,-4457.7001953,-104.149235693581090,31.901240653151376
434,-4457.7001953,-104.144322116894841,31.901240653151376
435,-4457.7001953,-104.139408540208649,31.901240653151376
436,-4502.8105469,-104.134494963522400,31.901240653151376
437,-4502.8105469,-104.129581386836151,31.901240653151376
438,-4549.4448242,-104.124667810149901,31.901240653151376
439,-4549.4448242,-104.119754233463652,31.901240653151376
440,-4600.9560547,-104.114840656777346,31.901240653151376
441,-4597.9082031,-104.109927080091268,31.901240653151376
442,-4656.1250000,-104.105013503404962,31.901240653151376
443,-4656.1250000,-104.100099926718713,31.901240653151376
444,-4714.0366211,-104.095186350032577,31.901240653151376
445,-4714.0366211,-104.090272773346328,31.901240653151376
446,-4763.1098633,-104.085359196660079,31.901240653151376
447,-4763.1098633,-104.080445619973830,31.901240653151376
448,-4809.7441406,-104.075532043287637,31.901240653151376
449,-4809.7441406,-104.070618466601388,31.901240653151376
450,-4809.7441406,-104.065704889915139,31.901240653151376
451,-4856.6831055,-104.060791313228890,31.901240653151376
452,-4856.6831055,-104.055877736542641,31.901240653151376
453,-4880.7626953,-104.050964159856335,31.901240653151376
454,-4880.7626953,-104.046050583170199,31.901240653151376
455,-4888.0776367,-104.041137006483950,31.901240653151376
456,-4888.0776367,-104.036223429797701,31.901240653151376
457,-4899.3554688,-104.031309853111566,31.901240653151376
458,-4899.3554688,-104.026396276425317,31.901240653151376
459,-4911.8520508,-104.021482699739067,31.901240653151376
460,-4918.8623047,-104.016569123052818,31.901240653151376
461,-4933.4926758,-104.011655546366512,31.901240653151376
