Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date
TX,PB36,-104.425899,31.680262,Unavailable,TXHUB,,"Van Horn, TX",1218,2022-07-27,
TX,MB14,-101.618194,32.209722,,,,Whistling Duck SWD,814,2022-11-16,
TX,MB15,-102.165848,32.393918,Unavailable,TXHUB,,"Lenorah, TX",855,2022-11-16,
TX,MB16,-102.236844,32.337047,Unavailable,TXHUB,,"Midland, TX",904,2023-01-16,
TX,MB17,-102.04114,32.031106,,,,"Midland,  TX",852,2023-02-16,
TX,MB18,-102.171812,32.082143,Unavailable,TXHUB,,"Midland, TX",871,2023-02-16,
TX,PB44,-103.986965,31.92377,,,,"Angeles, TX",894,2023-03-08,
TX,YK01,-103.008071,33.110552,,,,"Denver City, TX",1150,2023-03-13,
TX,MB03,-100.615009,31.741898,,,,,734,2023-04-19,
TX,MB19,-101.71205,32.396522,Texas Seismological Network,TXHUB,,"Midland, TX",786,2023-05-03,
TX,PB51,-103.381836,31.940163,Unavailable,TXHUB,,"Mentone,TX",978,2023-05-18,
TX,MB22,-101.721534,32.518495,Unavailable,TXHUB,,"Ackerly, TX",857,2022-07-11,
TX,MB21,-101.727966,32.343507,Texas Seismological Network,TexNet,,TX,788,2023-07-11,
TX,MB23,-101.800869,32.386609,,,,"Knott, TX",791,2023-08-09,
TX,MB25,-102.4867,32.02737,,,,"Odessa, TX",921,2023-11-01,
TX,PB46,-103.475133,31.706947,,,,"Loving, County",878,2023-11-08,
TX,PB47,-103.3351,31.741433,,,,"Loving, County",861,2023-11-08,
MG,JRQG,-100.446976,20.703686,Seismic Network of the NorthEastern Mexico,TXHUB,,Juriquilla,1965,2003-08-28,
G,UNM,-99.178062,19.329662,GEOSCOPE,TXHUB,,Unam - Mexico,2280,1990-06-06,
AE,319A,-109.280899,31.3757,Arizona Broadband Seismic Network,TXHUB,,Douglas,1187,2011-12-01,
2T,EF56,-97.1894,29.5828,University of Texas,TXHUB,,Moulton,127.8,2018-09-26,
2T,EF54,-97.6301,29.1577,University of Texas,TXHUB,,"Nixon, TX",122.4,2018-11-15,
2T,EF58,-98.723,28.8365,University of Texas,TXHUB,,"Charlotte, TX",137,2018-11-16,
2T,EF59,-98.4191,28.9501,University of Texas,TXHUB,,"Coughran, TX",98.1,2018-11-08,
2T,EF73,-97.8966,28.9826,University of Texas,TXHUB,,"North Karnes, TX",90.4,2018-11-08,
2T,EF51,-98.4979,28.7897,University of Texas,TXHUB,,"Christine, TX",98.3,2018-12-17,
2T,EF64,-97.3128,29.7397,University of Texas,TXHUB,,"Waelder, TX",130.89,2018-12-17,
2T,EF63,-97.4637,29.5756,University of Texas,TXHUB,,"Gonzales, TX",121.3,2018-12-17,
2T,EF74,-98.4242,28.4376,University of Texas,TXHUB,,"Calliham, TX",95.2,2018-12-17,
2T,EF62,-97.685,29.3651,University of Texas,TXHUB,,"Nixon, TX",98.8,2018-12-18,
2T,EF69,-98.2802,28.6338,University of Texas,TXHUB,,"Whitsett, TX",59.3,2018-12-18,
2T,EF71,-98.0439,28.6281,University of Texas,TXHUB,,"Pawnee, TX",94.9,2018-12-18,
2T,EF66,-97.1239,29.351,University of Texas,TXHUB,,"Yoakum, TX",82.3,2018-12-18,2025-01-08
2T,EF68,-97.9893,28.7685,University of Texas,TXHUB,,"Kenedy, TX",138.4,2018-12-18,
2T,EF65,-96.9805,29.6716,University of Texas,TXHUB,,"Schulenburg, TX",71.5,2018-12-18,
2T,EF75,-97.832,28.6933,University of Texas,TXHUB,,"Tulsita, TX",113.4,2018-12-19,
2T,EF72,-97.59197,28.86009,University of Texas,TXHUB,,"Nordheim, TX",110,2018-12-19,
2T,EF61,-97.9834,29.1253,University of Texas,TXHUB,,"Poth, TX",97.1,2018-12-20,
2T,EF67,-97.3682,29.1298,University of Texas,TXHUB,,"Cuero, TX",54.1,2018-12-20,
2T,EF53,-97.8044,29.0551,University of Texas,TXHUB,,"Gillett, TX",98.1,2018-12-20,
2T,EF55,-97.4153,29.2628,University of Texas,TXHUB,,"Cheapside, TX",112.6,2019-04-18,
2T,EF76,-98.1947,28.5203,University of Texas,TXHUB,,"Three Rivers, TX",48,2019-04-19,
2T,EF52,-98.20175,28.84362,University of Texas,TXHUB,,"Cambellton, TX",115,2019-04-26,
2T,EF77,-97.97107,28.24334,University of Texas,TXHUB,,"Dinero,TX",62,2021-08-18,
4T,NM01,-103.39849,32.35514,,TXNET,,"Eunice, NM",1038,2018-05-25,
4T,NM02,-103.879,32.2641,,TXNET,,"Loving, NM",1045.4,2018-07-20,
4T,NM03,-103.63428,32.472544,,TXNET,,"Eunice, NM",1145,2018-07-20,
AG,WLAR,-93.112,33.688,,,,,77,2010-02-23,
OK,ELIS,-99.418045,36.065254,,,,,641,2016-04-07,
OK,LOOK,-97.179993,33.992428,,,,,286,2015-05-01,
OK,X37A,-95.3713,34.589199,,,,,207,2012-02-24,
OK,FNO,-97.401154,35.257381,,,,,360,2011-09-16,
OK,W35A,-96.874527,35.15274,,,,,322,2012-02-15,
OK,X34A,-97.832558,34.601021,,,,,364,2011-10-13,
N4,441B,-93.1898,30.7498,,,,LA / DeRidder,33,2014-01-15,
N4,545B,-90.489403,30.0441,,,,,8,2014-01-21,
N4,735B,-97.808197,28.855301,,,,,109,2014-02-27,
N4,ABTX,-99.643097,32.623798,,,,,502,2018-08-15,
N4,MSTX,-102.7724,33.969601,,,,,1167,2018-08-15,
N4,WHTX,-97.4561,31.991301,,,,,190,2018-08-15,
N4,Z35B,-97.252998,33.330898,,,,,234,2014-02-10,
N4,Z38B,-94.985199,33.259899,,,,,115,2014-02-12,
IM,TX01,-103.6677,29.334,,,,,996.7999878,1995-04-03,
IM,TX02,-103.658,29.3299,,,,,965.2999878,1995-03-29,
IM,TX03,-103.6743,29.3314,,,,,996.5,1972-01-03,
IM,TX04,-103.6673,29.3399,,,,,997.2000122,1995-03-29,
IM,TX06,-103.682,29.319,,,,,939.5,1995-03-29,
IM,TX07,-103.689,29.3404,,,,,1069.699951,1995-03-29,
IM,TX08,-103.6769,29.3509,,,,,1044.5,1995-03-29,
IM,TX09,-103.6602,29.3437,,,,,988.2999878,1995-03-29,
IM,TX10,-103.7035,29.3305,,,,,1034.099976,1995-03-29,
IM,TX31,-103.6677,29.3343,,,,,991.4000244,1998-10-30,
IM,TX32,-103.6677,29.334,,,,,995.5,2000-12-14,
4O,LWM1,-103.63,31.2312,,,,"North of Verhalen, TX",826.8,2019-07-26,
4O,LWM2,-103.5847,31.2699,,,,Southwest of Pecos,810.6,2019-07-26,
4O,PR01,-103.270332,31.2365,Schlumberger Network,TXHUB,,P06,826,2020-02-27,
4O,MID02,-102.1669,32.1297,Unavailable,TXHUB,,"Midland, TX",883,2021-12-07,
4O,HP01,-101.2256703,32.4498025,ESG,TXHUB,,,736,2022-01-03,
4O,CT01,-104.144532,31.90285,,,,,994,2022-02-25,
4O,CT02,-104.122493,31.95689,,,,,952,2022-02-25,
4O,WB03,-103.9688386,31.6107215,,,,,994,2022-05-10,
4O,WB02,-103.9449205,31.7363019,,,,,932,2022-05-10,
4O,WB04,-103.950319,31.530513,,,,,961.89,2022-08-26,
4O,WB05,-103.8329479,31.7537807,,,,,854.81,2022-08-26,
4O,WB06,-103.7187809,31.9975481,,,,"Loving Co., TX",950.93,2022-08-26,
4O,WB07,-103.8016616,31.99830925,,,,"Loving Co., TX",942.37,2022-08-26,
4O,WB08,-103.759894,31.96355,,,,"Loving Co., TX",928.58,2022-08-26,
4O,WB09,-103.8032847,31.96368917,,,,"Loving Co., TX",910.79,2022-08-26,
4O,WB10,-103.7218932,31.93042,,,,"Loving Co., TX",910.9,2022-08-26,
4O,WB11,-103.8004139,31.92770654,,,,"Loving Co., TX",905,2022-08-26,
4O,WB12,-103.7642735,31.898132,,,,"Loving Co., TX",886,2022-08-26,
4O,CV01,-104.0889,31.8504,Unavailable,TXHUB,,"Orla, TX",983,2022-11-08,
4O,BP01,-103.8244,31.8409,Unavailable,TXHUB,,"East of Orla,  TX",806,2023-02-03,
ZW,CHDR,-96.976303,32.6003,,,,,261,2017-07-25,2018-12-31
ZW,CLHT,-97.548,32.2734,,,,,228,2018-08-31,2019-04-15
ZW,IFS3,-96.9211,32.8312,,,,,150,2015-01-08,2025-01-01
ZW,ILCC,-96.9472,32.861,,,,,158,2015-02-20,2025-01-01
ZW,IPD1,-96.9333,32.889,,,,,128,2015-01-17,2025-01-01
ZW,IPD1V,-96.9334,32.8888,,,,,148,2017-01-25,2025-01-01
ZW,ITL1,-96.899,32.8489,,,,,230,2015-01-07,2025-01-01
ZW,ITSC,-96.8498,32.8903,,,,,158,2015-01-11,2025-01-01
ZW,AZDA,-97.555298,32.972801,,,,,238,2014-01-08,2018-12-31
ZW,IFBF,-96.913528,32.923664,,,,,132,2015-01-26,2017-12-31
4F,V2600,-97.0995,32.5095,,,,,177,2015-05-10,2025-01-01
4F,VALP,-97.1425,32.5202,,,,,195,2017-03-10,2025-01-01
4F,VBB1,-97.2331,32.452,,,,,238,2015-05-10,2025-01-01
4F,VMCM,-97.0809,32.4579,,,,,177,2015-05-10,2025-01-01
4F,VNLC,-97.2036,32.5759,,,,,206,2015-05-10,2025-01-01
4F,VSAB,-97.2303,32.4963,,,,,210,2015-05-10,2025-01-01
4F,VVFD,-97.1031,32.4325,,,,,208,2015-05-10,2025-01-01
4F,VPCC,-97.1551,32.462,,,,,200,2019-07-15,2025-01-01
4F,VPCK,-97.1659,32.4584,,,,,200,2015-05-10,2019-07-16
NQ,AZEP,-97.535378,32.963421,,,,,224,2014-01-07,
NQ,AZNH,-97.590424,32.989052,,,,,273,2013-12-24,
NQ,BRRD,-97.537849,32.99485,,,,,223,2013-12-20,
NQ,UDKH,-96.916786,32.846939,,,,,145,1989-01-01,
NQ,VAVE,-97.144112,32.519421,,,,,188,2016-09-23,
NQ,VTAX,-97.143913,32.51968,,,,,203,2015-05-12,
DB,UB01,-103.2117,31.1133,Unavailable,TXHUB,,"Coyanosa,TX",844,2020-11-16,
GM,NMP01,-103.86048,32.20476,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# 01,1048,2019-11-05,
GM,NMP02,-103.86139,32.08945,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# 02,996,2019-11-05,
GM,NMP11,-103.93155,32.00668,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W1S1,882.7,2021-03-17,
GM,NMP12,-103.95259,32.12755,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W1S2,951.8,2021-03-17,
GM,NMP23,-103.802893,32.167112,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W2S3,1049.6,2021-06-02,
GM,NMP25,-103.860072,32.33787,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W2S5,983,2020-08-26,
GM,NMP31,-103.73465,32.03585,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W3S1,972.8,2021-03-18,
GM,NMP34,-103.68967,32.26384,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W3S4,1121.7,2020-08-25,
GM,NMP35,-103.724675,32.352297,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W3S5,1071,2021-06-01,
GM,NMP41,-103.596471,32.00509,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W4S1,959.9,2020-08-28,
GM,NMP44,-103.61883,32.20474,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W4S4,1085.7,2021-03-19,
GM,NMP45,-103.58198,32.33145,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W4S5,1127.4,2021-06-01,
GM,NMP51,-103.421678,32.00448,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W5S1,975,2021-06-02,
GM,NMP53,-103.431176,32.17626,U.S. Geological Survey Networks (),,,New Mexico Permian - Site# W5S3,1037.3,2020-08-27,
TX,DG10,-103.488839,31.392949,University of Texas,TexNet,,"Pecos, TX",790,2023-11-30,
TX,PB39,-104.060349,31.721691,Unavailable,TXHUB,,"Culberson, TX",950,2023-11-04,
4O,MG01,-101.952749,32.402017,ESG,TXHUB,,Martin County,856,2023-10-01,
TX,PB52,-103.283161,31.778746,,,,Winkler County,861,2024-02-22,
TX,PB53,-103.23596,31.79929,,,,Winkler County,867,2024-02-22,
TX,PB54,-103.416746,31.894457,Unavailable,TXHUB,,Loving County,940,2024-03-07,
TX,PB56,-103.8703449,31.8032778,,,,Reeves County,867,2024-03-20,
TX,PB55,-103.9381042,31.8028225,,,,Reeves County,913,2024-03-20,
TX,PB57,-103.965278,31.7692277,,,,Reeves County,919,2024-03-20,
TX,PB58,-103.932653,31.699787,,,,,895,2024-04-04,
TX,EF08,-99.110482,28.884991,,,,Pearsall,182,2024-04-17,
TX,EF06,-99.865593,28.75082,,,,Crystal City,186,2024-04-18,
TX,PB59,-104.81204,31.889954,,,,"Culberson, County",1705,2024-04-25,
4O,HP02,-101.19830556,32.52375611,ESG,TXHUB,,,698,2024-04-11,
